2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_repositories
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/get_github_client_id
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/get_binding
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list_definitions
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/validate
2021.05.05 05:52:49 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2021.05.05 05:52:49 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2021.05.05 05:52:49 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2021.05.05 05:52:49 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2021.05.05 05:52:49 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2021.05.05 05:52:49 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2021.05.05 05:52:50 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2021.05.05 05:52:50 INFO  web[][o.s.s.r.RegisterRules] Register rules
2021.05.05 05:53:15 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2021.05.05 05:53:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2021.05.05 05:53:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2021.05.05 05:53:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2021.05.05 05:53:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2021.05.05 05:53:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2021.05.05 05:53:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2021.05.05 05:53:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2021.05.05 05:53:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2021.05.05 05:53:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2021.05.05 05:53:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2021.05.05 05:53:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2021.05.05 05:53:22 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.05.05 05:53:22 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@3a196026 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@1aacce3f [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@19bc88cc [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@fd274f [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@780b7393 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@7c0b36b4 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@55d2bdba [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5283100c [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@5945f535 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.05.05 05:53:23 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@c2720a2 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.05.05 05:53:24 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2021.05.05 05:53:24 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.05.05 05:53:24 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.05.05 06:17:47 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.05.05 06:17:52 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.05.05 06:17:54 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2021.05.05 06:17:57 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.8.0.42792 / 8ea4b78e406a28fece1dbce33ae74e87c26f59ed
2021.05.05 06:17:57 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:postgresql://sonarqube-db:5432/sonar
2021.05.05 06:18:05 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.05.05 06:18:05 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.05.05 06:18:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.19.0.28253 / 43bcae4fd8532e1edd55c8e7af3357431bbd7240
2021.05.05 06:18:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.4.0.1899 / 00c77dfd101c06a6181f0c3f024957a42eba9b8e
2021.05.05 06:18:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.0.2294 / 64746e0c588ddd44f3216ae1ee02a01bcf6b2dac
2021.05.05 06:18:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.2.1946 / e5d905c22abff18761b80fa66a2d92c2aeb6dcf7
